"Dates","SHCOMP Index","SPX Index","NKY Index","HSI Index","KOSPI Index","STI Index","ASX Index","NZSE:IND"
2005-01-03,0,-0.354058108602517,0,0.0222123982328348,-0.107261421957272,0.0653154477441742,0,0
2005-01-04,-0.821166365838355,-0.509865284785738,0.109449053280475,-0.588172467017589,-0.332196252063977,-0.120291228011116,0.289254816621165,0
2005-01-05,0.319031601895858,-0.15783954543731,-0.303578116572201,-0.879354927113773,-0.0838155843731592,0.0247803098592847,-0.364802968517175,0.329111567505436
2005-01-06,-0.436047095068615,0.151624710652642,0.207357637988714,-0.165395137326207,-0.687875401946503,0.28741606263436,0.143051582185416,0.0473561211962181
2005-01-07,0.185873544382398,-0.0618311842862429,-0.223612282821239,-0.436671215465978,-0.0219375905334385,-0.19017052511825,0.264142610704976,-0.067117349836554
2005-01-10,0.266266637315038,0.148028290719093,0,-0.139294792253697,0.166249709562027,0.0502738472933473,-0.102023577728527,-0.14604961177489
2005-01-11,0.175146400574855,-0.265346788022658,0.403611243361635,-0.0711172662922976,0.49938475957565,0.0675180283951526,-0.166436111304735,0.103630994497594
2005-01-12,-0.0186196409325934,0.172568298778719,-0.327138332570698,0.179848414520567,-0.209723642903459,-0.288114730928024,-0.240634959050867,-0.37552184677625
2005-01-13,-0.0210473858737181,-0.37642824417552,-0.362377277591985,0.0255085258318744,0.271070573698662,0.0832896463313748,0.16663831480046,0.220476724900864
2005-01-14,-0.371262669055383,0.259992392551389,0.305462366118192,-0.251899932302901,0.94883817661553,-0.0295571494864255,0.181256743035174,-0.221211074352912
2005-01-17,-1.02191983871425,0,0.184550175780629,0.406390833671821,0.854277649199719,0.223569097707177,0.220335047384657,0.000993528646953123
2005-01-18,0.313063936036784,0.418151918651244,-0.242034009804204,-0.0556070667621533,-0.118252360595772,-0.141033312721683,-0.180516855087687,0.345446400089466
2005-01-19,-0.261121827489941,-0.414119046689265,-0.0681825316859452,0.236895577445306,-0.203335040998764,0.351620623423887,-0.00699244498649776,-0.0526997410424279
2005-01-20,-0.491721216408347,-0.33933454471593,-0.461552443186353,-0.43088041980246,-0.328284458470618,-0.24477452817786,-0.123179739899371,-0.312146176404227
2005-01-21,1.07140677408757,-0.279487871268413,-0.178938571334974,-0.201104506513161,0.486306243108592,0,0.0194159159623286,0.093806340857272
2005-01-24,0.742987350132251,-0.153480852600341,0.197099698073622,-0.303981402835518,0.164977046382386,-0.232231985471421,0.0510152818972376,0.0472365175291589
2005-01-25,-0.0533955006563502,0.173557129793478,-0.0484208836881272,0.634665218440844,-0.378490033012024,-0.0672968683998132,0.252218066322563,0.233058574273004
2005-01-26,-0.427166022612635,0.209872575326342,0.38212289940196,0.126484298478946,0.561117879371098,0.387106783677815,0.0447769528886699,0.216213960561529
2005-01-27,-0.565505266542443,0.0177518163190449,-0.13481218959015,0.016668949030052,-0.0999041676121859,-0.31719854700083,0.0472244250903753,-0.28340408955656
2005-01-28,-0.435016613247985,-0.118111969443246,-0.0794543360767896,0.0673436726735588,-0.154293881152734,0.307692454372299,-0.148439682982415,0.0953302028329439
2005-01-31,-0.788992825016788,0.365878507980133,0.256314425211013,0.227304317428256,0.52042231060061,0.173805142828476,0.199170970413087,-0.11292743290805
2005-02-01,-0.105511132980363,0.298241093324325,-0.0121675743431915,-0.456348313363719,-0.421573484869509,-0.0129144128552028,0.452878099787846,0.182321605697799
2005-02-02,2.262108361175,0.137437961479803,0.0866625054346315,-0.071896769530877,-0.1059180728328,0.260343310731592,0.10954405727932,-0.082840883146007
2005-02-03,-0.354880220075859,-0.119915046829133,-0.0677832455913574,-0.129849849459251,0.345046965299955,-0.0773175864698938,-0.0456830312680179,0.0732640674378615
2005-02-04,0.923405868855953,0.476964282223147,-0.110531606173758,0.223842318500012,0.222005244527601,0.133986782768991,0.271109080388809,0.404274124964665
2005-02-07,0,-0.0473168377229438,0.52989300931694,0.665662742014739,0.721557086328506,0.0839055752495543,0.304311170078897,0.21049927031398
2005-02-08,0,0.0209557994019338,-0.035627190383547,0.159101686254282,0,0.517133148749771,0.149976630203508,0.0490771366061793
2005-02-09,0,-0.374023512907629,-0.0646039207722993,0,0,0,-0.0404738243646285,0.427038090512433
2005-02-10,0,0.182516660356447,0.302558191989633,0,0,0,0.0676082107755605,-0.227434145788319
2005-02-11,0,0.29973779789243,0,0,-0.0897709882424991,0.205854558928298,0.339042855491023,-0.00506801734658779
2005-02-14,0,0.0302563928237465,0.294603662088022,0.534947778945494,0.797734911389725,0.33996604686366,-0.0156031996487727,0.302164818364403
2005-02-15,0,0.143430705826209,0.0533197437308175,-0.0663540771387972,0.183719774305668,-0.0531073903747625,0.113894391957192,-0.202087755307501
2005-02-16,0.336680459871763,0.00753587868707051,-0.167417563049188,0.0609627173314919,0.119963508437415,-0.217060471856856,-0.0986340595310775,-0.0992805612770375
2005-02-17,-0.0933515907530769,-0.34547910237106,-0.0710324633161008,-0.147965612207024,0.0446777483082084,0.120050079868106,0.0301619584588408,0.0281239151374457
2005-02-18,-0.588124325194261,0.0303710032440119,0.289246212195504,0.371670564947468,0.512282811753284,0.110762064466208,-0.00565377182213389,-0.109950630584343
2005-02-21,0.871231000504435,0,-0.0339072219210479,0.0732461065130252,0.202969490800209,-0.128100712532309,-0.0257082432330691,0.325873142768085
2005-02-22,0.830419224505974,-0.634591847811672,-0.199170272168825,-0.0650775746668941,-0.481889378709521,-0.427290215713594,-0.238094515105391,-0.221708407020449
